Episode,Reward,Steps,Progress,AvgDist,MaxDist,Within5m%,AvgSpeed,R_Follow,R_Heading,R_Smooth,EndReason,TotalSteps
128,3210.47,1328,0.7480,6.89,23.55,58.4,9.29,1254.70,382.73,-11.9587,,463500
129,47.23,956,0.7480,140.59,595.58,0.0,7.37,0.00,59.26,-12.0231,,467324
130,7.66,93,0.7480,670.06,743.95,0.0,19.65,0.00,9.12,-1.4553,,467696
131,1.51,649,0.7480,1270.89,1793.26,0.0,19.64,0.00,61.32,-9.8159,out_of_bound,470292
132,1903.85,454,0.4080,2.50,6.28,94.5,17.71,686.72,206.15,-4.0203,,472108
133,1119.27,980,0.6240,15.07,34.54,26.3,5.15,436.82,150.66,-8.2178,,476028
134,14.33,253,0.6240,227.27,443.63,0.0,18.39,0.00,18.77,-4.4416,,477040
135,13.79,251,0.6240,665.71,885.74,0.0,19.58,0.00,17.61,-3.8123,,478044
136,-46.44,68,0.6240,946.83,1006.07,0.0,19.53,0.00,4.61,-1.0460,out_of_bound,478316
137,2732.36,732,0.5580,2.91,8.69,85.0,17.09,1023.10,326.37,-7.1141,,481244
138,22.58,15,0.5580,3.60,3.70,100.0,0.50,17.87,4.73,-0.0156,,481304
139,96.61,238,0.5580,97.53,284.60,24.4,12.70,88.92,25.29,-17.6043,,482256
140,-44.75,161,0.5580,434.63,584.05,0.0,19.58,0.00,7.74,-2.4912,out_of_bound,482900
141,2538.80,603,0.5400,2.42,6.74,94.2,18.70,922.36,276.25,-4.8081,,485312
142,406.53,420,0.6260,135.61,457.10,26.7,17.42,182.22,74.53,-15.2240,out_of_bound,486992
143,1622.19,413,0.3320,2.61,6.60,93.7,19.15,608.09,192.51,-3.4027,,488644
144,1146.86,262,0.5800,2.33,5.67,93.9,19.13,408.01,120.75,-1.8956,,489692
145,2179.92,469,1.0000,2.38,6.62,94.9,18.36,722.30,212.36,-4.7381,completed,491568
146,1956.79,417,0.4380,2.08,5.30,99.5,19.08,678.52,191.83,-3.5597,,493236
147,195.88,48,0.4780,2.36,4.62,100.0,19.39,74.16,22.15,-0.4272,,493428
148,58.91,14,0.4900,2.13,4.19,100.0,19.49,22.52,6.46,-0.0767,,493484
149,2362.61,416,1.0000,1.82,5.19,99.3,18.39,707.12,183.52,-3.0244,completed,495148
150,2344.01,576,0.4860,2.45,6.60,95.0,19.44,871.75,267.01,-4.7553,,497452
151,543.70,154,0.6060,3.35,8.36,76.0,15.05,198.89,58.43,-13.6193,,498068
152,618.29,170,0.7300,2.96,7.36,81.2,17.25,232.59,77.33,-1.6206,,498748
153,1456.57,282,1.0000,2.14,6.24,97.9,19.28,454.26,129.47,-2.1583,completed,499876
154,3449.93,691,0.7900,1.84,4.61,100.0,19.25,1172.61,313.30,-5.9929,,502640
155,813.11,260,0.9420,3.56,8.59,71.2,19.56,312.09,122.71,-1.6929,,503680
156,4.27,3,0.9420,4.52,6.45,66.7,19.46,2.79,1.48,-0.0037,,503692
