x,y
157.0793,435.27005
160.289,435.72
163.58698,436.31854
166.96306,437.05264
170.40709,437.9094
173.90887,438.87585
177.45828,439.93903
181.0451,441.086
184.6592,442.30383
188.29039,443.57953
191.9285,444.90018
195.56337,446.25284
199.18481,447.6245
202.78268,449.00226
206.3468,450.37317
209.86699,451.72427
213.3331,453.0426
216.73494,454.31522
220.06235,455.52914
223.30516,456.67148
226.45322,457.72925
229.49632,458.6895
232.42432,459.5393
235.22708,460.26572
237.89676,460.85886
240.43175,461.31696
242.83696,461.64676
245.12155,461.8606
247.29507,461.97125
249.36707,461.99155
251.34709,461.9343
253.24466,461.81232
255.06935,461.63837
256.8307,461.42532
258.5382,461.18594
260.20145,460.93304
261.83,460.67944
263.43335,460.43796
265.0211,460.22137
266.60272,460.04254
268.18784,459.91418
269.78592,459.84918
271.40656,459.86035
273.0593,459.96042
274.75363,460.1623
276.49918,460.4787
278.3054,460.9225
280.18192,461.50647
282.13818,462.24335
284.1814,463.14178
286.31308,464.20026
288.52884,465.40683
290.82068,466.743
293.18027,468.18994
295.59933,469.7286
298.06958,471.34015
300.5827,473.0056
303.1304,474.70605
305.70444,476.42258
308.29642,478.13623
310.89813,479.82806
313.50125,481.4792
316.0975,483.07065
318.67856,484.58353
321.23615,485.99887
323.76196,487.2978
326.2477,488.46133
328.68512,489.47055
331.06586,490.30655
333.38168,490.9504
335.62424,491.38315
337.78528,491.58588
339.85648,491.53964
341.82962,491.22565
343.69836,490.63
345.46072,489.74982
347.1192,488.59363
348.67892,487.17654
350.1451,485.51416
351.523,483.62195
352.8179,481.51547
354.03503,479.2103
355.1797,476.72192
356.25705,474.0659
357.27246,471.25775
358.2311,468.31305
359.13828,465.24734
359.9992,462.0761
360.81915,458.8149
361.6034,455.4793
362.35718,452.08484
363.08575,448.647
363.79437,445.1814
364.48828,441.7035
365.17276,438.22888
365.85303,434.77307
366.5344,431.35162
367.22208,427.98007
367.9213,424.67383
368.63654,421.4451
369.37064,418.29932
370.12482,415.23505
370.89935,412.24707
371.69458,409.33
372.51074,406.47842
373.34808,403.68698
374.20694,400.95026
375.08752,398.26288
375.9901,395.61945
376.915,393.01453
377.86246,390.44278
378.83273,387.8988
379.82614,385.3772
380.84293,382.87253
381.88333,380.3795
382.9477,377.8926
384.03622,375.40652
385.14923,372.91586
386.287,370.4152
387.44974,367.89914
388.63776,365.36234
389.85135,362.79932
391.09076,360.20477
392.35626,357.5733
393.64777,354.90082
394.96463,352.1855
396.30554,349.42792
397.66888,346.6299
399.053,343.7933
400.45627,340.91992
401.87708,338.0116
403.31378,335.07016
404.76474,332.0975
406.22833,329.0954
407.7029,326.0657
409.18686,323.01028
410.67853,319.93097
412.1763,316.8296
413.67856,313.70798
415.18362,310.56796
416.6899,307.4114
418.19574,304.24014
419.69952,301.056
421.19962,297.8608
422.69437,294.65643
424.1822,291.4447
425.66138,288.22742
427.13034,285.0065
428.5875,281.78372
430.0319,278.56168
431.4637,275.34393
432.8844,272.13535
434.29596,268.9412
435.7003,265.76685
437.09943,262.6176
438.49536,259.4989
439.89,256.41605
441.28546,253.37434
442.6836,250.37917
444.08646,247.43588
445.49603,244.5498
446.91425,241.7263
448.34314,238.9707
449.78467,236.28838
451.2408,233.68465
452.7136,231.16487
454.20493,228.73438
455.71686,226.39854
457.2513,224.16269
458.81033,222.03217
460.39587,220.01233
462.00992,218.1085
